Food id,Food name,Cuisine name,Calories (in kcal),Fat(in g),Carbohydrates(in g),Protein(in g),Sodium(in mg),Meal type,Veg non veg,Expected price
1,Thenthuk,Tibetan,108,3.9,16,4.4,610,Wheat based,V,150
2,Shapta,Tibetan,240,14,7,21,670,Meat based,NV,350
3,Momos,Tibetan,97,2,13,5.2,350,Wheat based,V,100
4,Chhurpi soup,Tibetan,73,0.7,5.5,12.7,500,Milk based,V,90
5,Phing Sha,Tibetan,142,5,13,11,500,Meat based,NV,300
6,Tingmo,Tibetan,255,5,47,5,410,Wheat based,V,80
7,Thukpa,Tibetan,160,5.5,20,8,430,Wheat based,V,120
8,Sha Balep,Tibetan,145,6.4,15.8,7.6,380,Wheat based,V,70
9,Gyuma,Tibetan,272,17,19,11,480,Meat based,NV,400
10,Shabalay,Tibetan,130,2.3,21.1,5.7,420,Wheat based,V,80
11,Butter Tea,Tibetan,49,4.5,0.4,1.1,55,Milk based,V,50
12,Khapse,Tibetan,250,13,29,4,0,Wheat based,V,120
13,Laping,Tibetan,86,0.2,17,4.8,230,Salad based,V,80
14,Gyathuk,Tibetan,102,3,13,5,250,Wheat based,V,120
15,Saelroti,Tibetan,260,1.5,52,5,0,Wheat based,V,60
1,Tacos al Pastor,Mexican,220,11,18,15,540,Meat based,NV,200
2,Guacamole,Mexican,160,15,8,2,150,Salad based,V,150
3,Pico de Gallo,Mexican,20,0,5,1,150,Salad based,V,50
4,Chiles Rellenos,Mexican,165,8,17,7,135,Vegetarian,V,180
5,Pozole,Mexican,169,5.4,20,12,634,Meat based,NV,200
6,Enchiladas Verdes,Mexican,170,9,17,7,500,Vegetarian,V,180
7,Tamales,Mexican,269,16,24,7,356,Vegetarian,V,150
8,Chimichanga,Mexican,800,40,60,45,1800,Meat based,NV,250
9,Churros,Mexican,220,11,27,3,250,Desserts,V,100
10,Flautas,Mexican,305,15,33,10,580,Meat based,NV,220
11,Quesadillas,Mexican,240,11,27,9,480,Vegetarian,V,150
12,Tostadas,Mexican,170,3,32,4,210,Vegetarian,V,100
13,Burrito,Mexican,320,15,29,16,760,Meat based,NV,220
14,Empanadas,Mexican,210,10,24,7,430,Meat based,NV,150
15,Mole Poblano,Mexican,135,7,11,7,280,Meat based,NV,200
1,Potato Borek,Bírek,307,15,34,7,372,Snacks,V,70
2,Spinach and Feta Cheese Börek,Bírek,290,16.4,26.2,9.4,673,Appetizers,V,100
3,Lamb Börek,Bírek,246,9.9,19.5,19.8,355,Appetizers,NV,200
4,Ground Beef Börek,Bírek,243,10.9,20.8,17.2,311,Appetizers,NV,220
5,Chicken Börek,Bírek,207,9,21,11,250,Appetizers,NV,150
6,Pumpkin Börek,Bírek,202,9.4,26.3,3.4,291,Snacks,V,80
